DATE,YEAR,QUARTER,MONTH
2003-02-07,2003,1,2
2003-02-11,2003,1,2
2003-02-26,2003,1,2
2003-03-09,2003,1,3
2003-03-17,2003,1,3
2003-04-16,2003,2,4
2003-04-21,2003,2,4
2003-05-20,2003,2,5
2003-05-21,2003,2,5
2003-05-24,2003,2,5
2003-05-25,2003,2,5
2003-05-28,2003,2,5
2003-06-05,2003,2,6
2003-06-13,2003,2,6
2003-06-16,2003,2,6
2003-07-05,2003,3,7
2003-07-10,2003,3,7
2003-08-03,2003,3,8
2003-08-15,2003,3,8
2003-08-25,2003,3,8
2003-08-26,2003,3,8
2003-08-27,2003,3,8
2003-09-01,2003,3,9
2003-09-18,2003,3,9
2003-10-26,2003,4,10
2003-11-03,2003,4,11
2003-11-24,2003,4,11
2003-11-28,2003,4,11
2003-12-19,2003,4,12
2004-01-02,2004,1,1
2004-01-05,2004,1,1
2004-01-15,2004,1,1
2004-01-24,2004,1,1
2004-01-27,2004,1,1
2004-02-04,2004,1,2
2004-02-08,2004,1,2
2004-02-09,2004,1,2
2004-02-10,2004,1,2
2004-02-15,2004,1,2
2004-02-16,2004,1,2
2004-02-18,2004,1,2
2004-03-10,2004,1,3
2004-04-02,2004,2,4
2004-04-03,2004,2,4
2004-04-13,2004,2,4
2004-04-22,2004,2,4
2004-06-20,2004,2,6
2004-07-10,2004,3,7
2004-07-23,2004,3,7
2004-08-18,2004,3,8
2004-08-25,2004,3,8
2004-08-26,2004,3,8
2004-09-04,2004,3,9
2004-09-11,2004,3,9
2004-10-06,2004,4,10
2004-10-21,2004,4,10
2004-10-23,2004,4,10
2004-11-18,2004,4,11
2004-12-08,2004,4,12
2004-12-18,2004,4,12
2004-12-21,2004,4,12
2005-01-04,2005,1,1
2005-01-06,2005,1,1
2005-01-09,2005,1,1
2005-01-14,2005,1,1
2005-01-21,2005,1,1
2005-01-22,2005,1,1
2005-01-27,2005,1,1
2005-02-08,2005,1,2
2005-02-09,2005,1,2
2005-02-11,2005,1,2
2005-02-12,2005,1,2
2005-02-15,2005,1,2
2005-02-22,2005,1,2
2005-02-26,2005,1,2
2005-03-01,2005,1,3
2005-03-23,2005,1,3
2005-04-05,2005,2,4
2005-05-04,2005,2,5
2005-05-05,2005,2,5
2005-05-06,2005,2,5
2005-05-18,2005,2,5
2005-06-01,2005,2,6
2005-06-19,2005,2,6
2005-06-28,2005,2,6
2005-07-16,2005,3,7
2005-07-26,2005,3,7
2005-08-12,2005,3,8
2005-09-13,2005,3,9
2005-09-21,2005,3,9
2005-10-01,2005,4,10
2005-10-08,2005,4,10
2005-10-23,2005,4,10
2005-10-24,2005,4,10
2005-11-19,2005,4,11
2005-12-12,2005,4,12
2005-12-13,2005,4,12
2005-12-15,2005,4,12
2006-01-10,2006,1,1
2006-02-03,2006,1,2
2006-02-09,2006,1,2
2006-02-18,2006,1,2
2006-03-16,2006,1,3
2006-04-06,2006,2,4
2006-04-17,2006,2,4
2006-04-24,2006,2,4
2006-04-27,2006,2,4
2006-05-14,2006,2,5
2006-05-17,2006,2,5
2006-05-27,2006,2,5
2006-06-12,2006,2,6
2006-06-13,2006,2,6
2006-07-01,2006,3,7
2006-07-14,2006,3,7
2006-07-17,2006,3,7
2006-07-22,2006,3,7
2006-07-28,2006,3,7
2006-08-03,2006,3,8
2006-08-06,2006,3,8
2006-09-03,2006,3,9
2006-09-05,2006,3,9
2006-09-07,2006,3,9
2006-09-17,2006,3,9
2006-09-27,2006,3,9
2006-10-03,2006,4,10
2006-10-06,2006,4,10
2006-10-13,2006,4,10
2006-10-20,2006,4,10
2006-11-03,2006,4,11
2006-11-13,2006,4,11
2006-12-12,2006,4,12
2006-12-13,2006,4,12
2006-12-15,2006,4,12
2007-01-03,2007,1,1
2007-01-20,2007,1,1
2007-01-25,2007,1,1
2007-01-27,2007,1,1
2007-02-03,2007,1,2
2007-02-05,2007,1,2
2007-02-10,2007,1,2
2007-02-17,2007,1,2
2007-02-21,2007,1,2
2007-02-23,2007,1,2
2007-02-25,2007,1,2
2007-03-02,2007,1,3
2007-03-05,2007,1,3
2007-03-07,2007,1,3
2007-03-14,2007,1,3
2007-03-26,2007,1,3
2007-03-27,2007,1,3
2007-04-05,2007,2,4
2007-04-06,2007,2,4
2007-04-21,2007,2,4
2007-04-27,2007,2,4
2007-04-28,2007,2,4
2007-05-05,2007,2,5
2007-05-08,2007,2,5
2007-05-18,2007,2,5
2007-05-19,2007,2,5
2007-07-17,2007,3,7
2007-07-18,2007,3,7
2007-07-25,2007,3,7
2007-08-01,2007,3,8
2007-08-08,2007,3,8
2007-09-03,2007,3,9
2007-09-28,2007,3,9
2007-10-11,2007,4,10
2007-10-20,2007,4,10
2007-11-06,2007,4,11
2007-11-15,2007,4,11
2007-11-16,2007,4,11
2007-11-22,2007,4,11
2007-12-13,2007,4,12
2007-12-20,2007,4,12
2007-12-22,2007,4,12
2008-01-08,2008,1,1
2008-01-16,2008,1,1
2008-01-27,2008,1,1
2008-02-02,2008,1,2
2008-02-06,2008,1,2
2008-03-02,2008,1,3
2008-03-05,2008,1,3
2008-03-07,2008,1,3
2008-03-20,2008,1,3
2008-04-11,2008,2,4
2008-04-14,2008,2,4
2008-04-19,2008,2,4
2008-04-21,2008,2,4
2008-05-07,2008,2,5
2008-05-12,2008,2,5
2008-05-14,2008,2,5
2008-06-03,2008,2,6
2008-06-14,2008,2,6
2008-06-16,2008,2,6
2008-06-21,2008,2,6
2008-07-13,2008,3,7
2008-07-16,2008,3,7
2008-07-18,2008,3,7
2008-07-22,2008,3,7
2008-07-23,2008,3,7
2008-08-01,2008,3,8
2008-08-04,2008,3,8
2008-08-05,2008,3,8
2008-08-09,2008,3,8
2008-08-13,2008,3,8
2008-08-18,2008,3,8
2008-09-04,2008,3,9
2008-10-03,2008,4,10
2008-10-06,2008,4,10
2008-10-08,2008,4,10
2008-10-19,2008,4,10
2008-11-01,2008,4,11
2008-11-18,2008,4,11
2008-12-03,2008,4,12
2008-12-19,2008,4,12
2008-12-27,2008,4,12
2009-01-10,2009,1,1
2009-01-12,2009,1,1
2009-02-03,2009,1,2
2009-02-10,2009,1,2
2009-02-11,2009,1,2
2009-02-15,2009,1,2
2009-02-21,2009,1,2
2009-03-19,2009,1,3
2009-03-27,2009,1,3
2009-03-28,2009,1,3
2009-04-19,2009,2,4
2009-04-27,2009,2,4
2009-05-05,2009,2,5
2009-05-15,2009,2,5
2009-05-19,2009,2,5
2009-05-25,2009,2,5
2009-06-04,2009,2,6
2009-06-23,2009,2,6
2009-07-01,2009,3,7
2009-07-03,2009,3,7
2009-07-06,2009,3,7
2009-07-26,2009,3,7
2009-07-27,2009,3,7
2009-08-19,2009,3,8
2009-09-11,2009,3,9
2009-09-14,2009,3,9
2009-09-24,2009,3,9
2009-10-04,2009,4,10
2009-11-06,2009,4,11
2009-11-09,2009,4,11
2009-12-02,2009,4,12
2009-12-28,2009,4,12
2010-01-01,2010,1,1
2010-01-07,2010,1,1
2010-01-12,2010,1,1
2010-01-21,2010,1,1
2010-02-04,2010,1,2
2010-02-21,2010,1,2
2010-02-26,2010,1,2
2010-03-02,2010,1,3
2010-03-09,2010,1,3
2010-03-15,2010,1,3
2010-03-27,2010,1,3
2010-04-09,2010,2,4
2010-04-22,2010,2,4
2010-04-25,2010,2,4
2010-05-04,2010,2,5
2010-05-07,2010,2,5
2010-05-10,2010,2,5
2010-05-18,2010,2,5
2010-05-19,2010,2,5
2010-05-25,2010,2,5
2010-06-02,2010,2,6
2010-06-22,2010,2,6
2010-06-24,2010,2,6
2010-07-09,2010,3,7
2010-07-23,2010,3,7
2010-08-02,2010,3,8
2010-08-14,2010,3,8
2010-08-26,2010,3,8
2010-09-02,2010,3,9
2010-09-08,2010,3,9
2010-09-18,2010,3,9
2010-09-23,2010,3,9
2010-10-03,2010,4,10
2010-10-11,2010,4,10
2010-10-13,2010,4,10
2010-10-19,2010,4,10
2010-10-22,2010,4,10
2010-11-15,2010,4,11
